id,vector,name,price,description,clean_text
65155391,https://www.meesho.com/s/p/3kxvkl?utm_source=s,Pretty Sensational Men Shirts,308,Pretty Sensational Men Shirts Cotton Blend,shirt sensat cotton blend pretti men
30889756,https://www.meesho.com/s/p/1rm5qx?utm_source=s,Urbane Fashionista Men Tshirts,202,Urbane Fashionista Men Tshirts Cotton,tshirt urban cotton fashionista men
65337211,https://www.meesho.com/s/p/3lbme7?utm_source=s,Pretty Designer Men Shirts,261,Pretty Designer Men Shirts Lycra,shirt design lycra pretti men
12004914,https://www.meesho.com/s/p/ssn5p?utm_source=s,Classy Elegant Men tshirt,217,Classy Elegant Men tshirt Cotton Blend,tshirt classi cotton eleg blend men
49928259,https://www.meesho.com/s/p/2q3ajv?utm_source=s,Urbane Partywear Men Shirts,246,Urbane Partywear Men Shirts Cotton Blend,partywear shirt urban cotton blend men
71385941,https://www.meesho.com/s/p/3xy5ld?utm_source=s,Classy Partywear Men Tshirts,270,Classy Partywear Men Tshirts Cotton / Cotton Blend,partywear classi cotton blend tshirt men
25093607,https://www.meesho.com/s/p/1gfukm?utm_source=s,Comfy Ravishing Women Dresses,549,Comfy Ravishing Women Dresses Poly Crepe,comfi ravish woman crepe dress poli
29913544,https://www.meesho.com/s/p/1pqxqs?utm_source=s,Classy Graceful Women Dresses,199,Classy Graceful Women Dresses Polyester,woman classi grace polyest dress
19195489,https://www.meesho.com/s/p/15wrv3?utm_source=s,Pretty Modern Women Dresses,247,Pretty Modern Women Dresses Rayon,rayon woman modern dress pretti
24925335,https://www.meesho.com/s/p/1g4suk?utm_source=s,Trendy Fashionista Women Dresses,571,Trendy Fashionista Women Dresses Poly Crepe,trendi crepe woman poli dress fashionista
56587264,https://www.meesho.com/s/p/32u87f?utm_source=s,Pretty Ravishing Women Dresses,366,Pretty Ravishing Women Dresses Rayon,rayon ravish woman dress pretti
48351358,https://www.meesho.com/s/p/2n7pi7?utm_source=s,Stylish Retro Women Dresses,179,Stylish Retro Women Dresses Crepe,crepe woman retro dress stylish
24191152,https://www.meesho.com/s/p/1ep2lv?utm_source=s,Comfy Designer Women Dresses,326,Comfy Designer Women Dresses Crepe,comfi crepe woman design dress
19480926,https://www.meesho.com/s/p/16ebe2?utm_source=s,Comfy Modern Women Dresses,262,Comfy Modern Women Dresses Georgette,comfi woman modern dress georgett
1921907,https://www.meesho.com/s/p/69hm4?utm_source=s,Free Mask Stylish Poly Crepe Short Dresses,199,Free Mask Stylish Poly Crepe Short Dresses Poly crepe,mask crepe free short dress poli stylish
39584892,https://www.meesho.com/s/p/27tcp6?utm_source=s,Classic Latest Women Dresses,239,Classic Latest Women Dresses Crepe,dress crepe woman latest classic
24584497,https://www.meesho.com/s/p/1ffbgl?utm_source=s,Trendy Designer Women Dresses,248,Trendy Designer Women Dresses Crepe,trendi crepe woman design dress
34333578,https://www.meesho.com/s/p/1y3sxf?utm_source=s,Stylish Fashionista Women Dresses,326,Stylish Fashionista Women Dresses Crepe Sleeve Length,crepe woman sleev length dress fashionista stylish
73908742,https://www.meesho.com/s/p/43hz3u?utm_source=s,Trendy Glamorous Women Dresses,273,Trendy Glamorous Women Dresses Georgette / Crepe,trendi glamor woman crepe dress georgett
50589469,https://www.meesho.com/s/p/2rcpc7?utm_source=s,Fancy Retro Women Dresses,198,Fancy Retro Women Dresses Poly Crepe,crepe woman retro fanci dress poli
73274728,https://www.meesho.com/s/p/41yoi6?utm_source=s,Urbane Fashionable Women Dresses,459,Urbane Fashionable Women Dresses Georgette,woman fashion urban dress georgett
22673683,https://www.meesho.com/s/p/1bz5xu?utm_source=s,Trendy Graceful Women Dresses,254,Trendy Graceful Women Dresses Rayon,trendi rayon woman grace dress
74790599,https://www.meesho.com/s/p/45b79i?utm_source=s,Comfy Glamorous Women Dresses,199,Comfy Glamorous Women Dresses Polyester / Polycotton,comfi glamor woman polycotton polyest dress
29217728,https://www.meesho.com/s/p/1oflar?utm_source=s,Pretty Feminine Women Dresses,252,Pretty Feminine Women Dresses Poly Crepe,pretti crepe woman feminin dress poli
49267645,https://www.meesho.com/s/p/2ouz2s?utm_source=s,Classy Modern Women Dresses,329,Classy Modern Women Dresses Georgette,woman classi modern dress georgett
66604101,https://www.meesho.com/s/p/3nx2be?utm_source=s,Classy Retro Women Dresses,272,Classy Retro Women Dresses Poly Crepe,crepe woman retro classi dress poli
72275169,https://www.meesho.com/s/p/3ztwum?utm_source=s,Casual Latest Women Shorts,110,Casual Latest Women Shorts Cotton,woman latest casual short cotton
80972175,https://www.meesho.com/s/p/4k3mcd?utm_source=s,Fancy Modern Women Shorts,212,Fancy Modern Women Shorts Cotton Blend,woman fanci modern short cotton blend
72719651,https://www.meesho.com/s/p/40t57u?utm_source=s,Fancy Unique Women Shorts,191,Fancy Unique Women Shorts Cotton,woman uniqu fanci short cotton
66455881,https://www.meesho.com/s/p/3nm1q2?utm_source=s,Elegant Feminine Women Shorts,361,Elegant Feminine Women Shorts Cotton Blend,woman feminin short cotton eleg blend
43788980,https://www.meesho.com/s/p/2f80y4?utm_source=s,Designer Fashionista Women Shorts,290,Designer Fashionista Women Shorts Cotton,woman design short cotton fashionista
43789052,https://www.meesho.com/s/p/2f8144?utm_source=s,Casual Feminine Women Shorts,290,Casual Feminine Women Shorts Cotton,woman casual feminin short cotton
41885977,https://www.meesho.com/s/p/2bzruk?utm_source=s,Stylish Trendy Women Shorts,289,Stylish Trendy Women Shorts Cotton,trendi woman short cotton stylish
